customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0441-DXMT,Male,1,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,974.61,No
0442-IXRP,Female,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.41,523.9,No
0443-TPSV,Male,1,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,18.25,1244.82,No
0444-WAKE,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.25,1350.07,No
0445-UIWH,Female,0,No,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,49.73,2067.17,No
0446-GKEN,Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,67.38,1491.75,No
0447-LZCW,Male,0,Yes,No,46,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,58.57,2686.14,No
0448-IQVD,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,18.25,19.14,No
0449-VWSA,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.57,328.05,No
0450-EGUO,Female,0,Yes,Yes,0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,69.52,52.42,No
0451-IPOW,Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,83.59,2779.58,No
0452-XWQB,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.97,2141.31,No
0453-YCMP,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,64.16,4580.76,No
0454-KEAT,Female,0,No,Yes,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),71.18,2665.73,No
0455-QHSN,Male,0,Yes,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,116.81,4967.33,No
0456-GEVO,Male,0,No,Yes,72,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),112.44,8113.21,No
0457-OGHU,Female,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,82.87,6021.0,Yes
0458-KUGM,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,388.56,No
0459-ZCCB,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),109.35,385.81,Yes
0460-BJOT,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),79.19,1618.65,No
0461-JKML,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,45.51,1122.66,Yes
0462-ATWV,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,3663.04,No
0463-LIMV,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.53,4027.74,No
0464-VXGY,Male,0,Yes,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),118.75,8530.98,Yes
0465-QLGG,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),31.14,509.6,No
0466-OWZC,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,52.16,157.67,No
0467-NPPE,Female,0,Yes,No,7,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,18.25,84.37,No
0468-ZHRT,Male,0,Yes,Yes,6,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),51.07,302.84,Yes
0469-JMFD,Male,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,101.14,1390.89,No
0470-LGFQ,Female,0,Yes,No,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,48.28,3199.97,Yes
0471-MFEA,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39.9,728.27,No
0472-OFUQ,Female,0,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,102.53,2652.85,No
0473-YRKV,Male,1,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.73,410.88,Yes
0474-DOIZ,Female,0,No,Yes,21,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,69.1,1382.28,No
0475-KKWX,Male,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),32.13,2158.81,No
0476-PLXN,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,34.68,1605.57,Yes
0477-FCOI,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),57.59,165.26,No
0478-MIEU,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,18.25,1056.08,No
0479-NAPB,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.03,928.23,Yes
0480-TEMB,Female,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.36,2901.79,Yes
0481-ZCRQ,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.53,455.6,Yes
0482-LKIL,Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,25.51,954.9,No
0483-KFJQ,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),86.12,202.58,No
0484-ENMZ,Female,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),39.39,1190.0,No
0485-PLFP,Male,0,Yes,No,33,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.23,3334.81,Yes
0486-KYJI,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.83,494.69,Yes
0487-QEZL,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,67.34,4860.16,No
0488-GYPP,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),83.93,48.17,Yes
0489-EHZE,Male,0,No,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.01,5300.77,No
0490-MYVI,Male,0,Yes,No,15,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.25,277.56,No
0491-EOIS,Female,0,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,859.93,No
0492-FZEN,Male,0,Yes,No,33,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,41.45,1388.91,No
0493-UCQT,Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),77.19,375.12,Yes
0494-QIMY,Female,1,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,116.59,1295.47,Yes
0495-BWTU,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),55.8,1236.94,No
0496-ANHU,Male,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,89.34,5250.96,No
0497-ZASE,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,85.35,6181.5,No
0498-OOSN,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),24.8,54.05,No
0499-WNIP,Male,0,No,No,13,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,64.84,890.96,No
0500-EESJ,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,46.94,1546.3,No
0501-UNKD,Male,1,No,No,24,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,37.41,864.33,Yes
0502-NZGS,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,116.05,8313.09,No
0503-LRLO,Male,0,Yes,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,76.46,42.96,No
0504-THFU,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,39.97,703.14,No
0505-WGBE,Male,0,Yes,Yes,35,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),47.11,1711.19,No
0506-LKQP,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),68.89,484.58,No
0507-JYDZ,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,76.15,3105.82,No
0508-DZLC,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,28.91,No
0509-ERFB,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.93,1924.34,No
0510-YAWS,Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),71.12,2534.35,Yes
0511-CSDO,Male,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,37.29,361.44,Yes
0512-RLGU,Female,0,Yes,No,2,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,118.75,230.98,No
0513-WNIO,Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.07,5548.24,Yes
0514-YCTC,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,111.47,7891.64,No
0515-WVZB,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,102.32,7298.97,No
0516-FOFV,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,118.75,8495.67,No
0517-VTDO,Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,96.76,626.32,Yes
0518-WBXW,Female,0,Yes,No,5,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),93.34,405.83,No
0519-YFRP,Female,0,No,No,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.95,64.29,Yes
0520-LYWZ,Female,0,Yes,Yes,71,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,108.19,7619.93,No
0521-LLBT,Female,1,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.12,2134.97,No
0522-KWKB,Male,0,Yes,No,32,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.47,2513.48,No
0523-FNPJ,Female,0,No,No,72,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),48.52,3523.04,No
0524-BEDD,Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.95,2505.52,No
0525-SVDY,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,56.04,234.69,No
0526-VEXE,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),58.28,396.43,No
0527-EPMW,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),18.25,55.27,No
0528-MKAB,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,118.75,1297.17,No
0529-KRMH,Female,0,Yes,Yes,15,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,27.79,467.97,No
0530-INZH,Female,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.84,3965.06,No
0531-TYHX,Male,0,No,No,6,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),83.41,504.29,No
0532-PJKA,Female,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),107.3,4465.86,Yes
0533-OHPO,Male,0,No,Yes,21,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.22,1035.93,No
0534-KGOR,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,24.23,1783.98,No
0535-MVOO,Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,93.83,4444.49,No
0536-NYZW,Female,0,No,No,72,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,99.88,7202.52,Yes
0537-GCNB,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.05,995.78,No
0538-PMOJ,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,66.44,190.59,No
0539-FYSG,Male,0,Yes,No,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),63.94,1500.04,No
0540-ZGZI,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.85,116.9,No
0541-FTBK,Male,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,18.25,414.45,No
0542-CANF,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),114.7,1196.52,No
0543-MWRM,Male,0,No,Yes,21,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,65.37,1390.99,No
0544-ZFOH,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,89.65,6517.9,Yes
0545-SEHN,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),54.44,590.23,No
0546-MIPW,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,54.45,3828.57,No
0547-UJQG,Male,0,Yes,Yes,8,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.03,407.18,No
0548-JARC,Female,1,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),59.12,307.4,Yes
0549-LODY,Female,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,98.83,2456.48,Yes
0550-HTSB,Male,0,Yes,Yes,59,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.0,4028.07,No
0551-JKTZ,Male,1,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,115.44,5032.49,Yes
0552-NMDC,Female,1,No,No,41,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),31.0,1278.69,No
0553-FKKL,Male,0,Yes,No,10,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,59.7,629.75,No
0554-ERVY,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),63.42,18.85,Yes
0555-DOLP,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.89,543.19,No
0556-UOWF,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),44.0,594.8,Yes
0557-UQUS,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),99.59,7167.18,No
0558-ERML,Female,0,Yes,No,72,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,84.08,6049.39,No
0559-GIFS,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,113.01,704.88,No
0560-DPDH,Female,1,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.78,2007.88,Yes
0561-VMFL,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,439.51,No
0562-IWNV,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.95,59.04,No
0563-MXBM,Male,0,No,Yes,14,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),97.8,1399.87,Yes
0564-NIIO,Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.25,343.1,Yes
0565-ORFJ,Female,0,No,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),81.98,2888.43,No
0566-EYRG,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),74.34,847.76,No
0567-BAKC,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,48.69,3516.78,No
0568-RLTV,Female,0,No,No,19,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),111.69,2221.52,Yes
0569-ZKSE,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,52.31,485.35,No
0570-GOWF,Male,1,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,116.08,1465.45,No
0571-METM,Female,0,Yes,No,44,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),93.15,4192.12,No
0572-UDGN,Male,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,86.51,2761.66,Yes
0573-OIXC,Male,0,Yes,No,43,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,79.61,3573.27,No
0574-BPUP,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,86.98,1021.74,No
0575-ZITJ,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,47.17,514.73,No
0576-ZAHF,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.11,528.55,Yes
0577-WDNO,Male,0,Yes,No,6,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,116.01,663.42,Yes
0578-YDJZ,Female,1,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),47.98,1801.42,No
0579-HFYU,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,58.64,759.64,Yes
0580-VSQZ,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.77,340.6,No
0581-URYC,Female,0,No,No,10,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,83.55,803.83,Yes
0582-LMLA,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,33.15,587.87,Yes
0583-QAMO,Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),77.44,3586.78,No
0584-GWRD,Female,0,Yes,No,57,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,55.29,3230.47,No
0585-QOAO,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,71.95,3786.83,No
0586-DRQW,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,115.7,3648.86,No
0587-TDLS,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),31.01,222.55,Yes
0588-NGRX,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),49.51,2117.73,Yes
0589-BWER,Female,0,Yes,No,1,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.91,18.85,Yes
0590-MSCR,Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,79.83,4015.64,No
0591-LJSN,Male,0,No,Yes,48,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,77.41,3649.17,No
0592-IVNK,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,58.51,2051.66,No
0593-GDPG,Male,0,No,Yes,3,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),100.22,288.49,Yes
0594-ZJQR,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),65.83,4765.89,No
0595-QIMU,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,46.69,2106.8,No
0596-QWRZ,Female,1,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,104.58,4426.03,No
0597-QYCM,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,57.85,108.09,Yes
0598-PKWZ,Male,1,No,Yes,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,59.96,919.49,No
0599-NFUJ,Female,1,Yes,No,2,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.44,173.82,No
0600-NLDK,Female,0,No,No,14,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.73,1032.38,Yes
0601-PMGA,Male,0,Yes,Yes,27,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,100.61,2716.25,No
0602-SMHH,Female,1,No,No,67,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,91.77,6149.55,No
0603-VPTQ,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),83.63,815.31,No
0604-LPRS,Female,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),35.94,1145.86,No
0605-QNTU,Male,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,64.3,353.12,Yes
0606-GLZW,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,60.78,740.32,No
0607-YWMH,Male,0,No,Yes,72,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,81.81,5971.48,No
0608-OYDE,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,59.19,2595.12,No
0609-RBKU,Female,0,Yes,Yes,25,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,108.13,2683.09,No
0610-ZDER,Female,0,No,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,84.35,819.46,No
0611-ZEWN,Male,1,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.72,1274.43,Yes
0612-SSZF,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,35.68,205.81,No
0613-BFWP,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,43.47,596.85,No
0614-XEAM,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,49.25,305.74,Yes
0615-SXNM,Female,0,Yes,No,50,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,65.25,3208.49,No
