customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,num_services,Churn,churn_flag,churn_probability,risk_segment
1491-IOPZ,Male,0,No,No,28,25-48 mo,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,37.89,1011.58,3,No,0,,N/A
1492-KGVT,Male,0,Yes,No,37,25-48 mo,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.74,2712.64,3,No,0,,N/A
1493-GAOI,Male,0,Yes,No,42,25-48 mo,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.17,3401.04,4,No,0,,N/A
1494-ATLB,Female,0,Yes,No,41,25-48 mo,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,88.08,3595.48,5,Yes,1,,N/A
1495-GLBP,Female,0,Yes,No,72,49-72 mo,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,18.25,1302.74,5,No,0,,N/A
1496-NPVH,Male,0,No,No,8,0-12 mo,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),51.71,443.62,5,No,0,,N/A
1497-MQJK,Female,0,Yes,No,10,0-12 mo,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,83.65,826.15,5,No,0,,N/A
1498-DWBH,Female,0,Yes,No,3,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),94.12,294.33,1,No,0,,N/A
1499-HDQA,Male,1,Yes,No,28,25-48 mo,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,72.57,2072.54,3,Yes,1,,N/A
1500-QMUO,Male,0,Yes,No,16,13-24 mo,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,97.46,1529.49,3,No,0,,N/A
1501-UAXY,Male,0,Yes,Yes,21,13-24 mo,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,70.88,1488.32,6,No,0,,N/A
1502-CUOF,Female,0,No,Yes,5,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,80.84,408.6,1,No,0,,N/A
1503-FRSE,Female,0,Yes,No,33,25-48 mo,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,39.94,1248.07,4,No,0,,N/A
1504-CMDU,Male,0,No,No,30,25-48 mo,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),86.79,2495.75,5,No,0,,N/A
1505-ZUXR,Male,0,No,No,9,0-12 mo,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,25.83,234.69,5,No,0,,N/A
1506-SRIB,Male,0,No,No,20,13-24 mo,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,34.29,633.29,5,Yes,1,,N/A
1507-HILS,Female,0,Yes,No,71,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.97,3060.51,2,No,0,,N/A
1508-EDRL,Female,0,Yes,No,47,25-48 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,115.33,5455.75,0,No,0,,N/A
1509-BKSA,Female,0,Yes,No,8,0-12 mo,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.28,382.93,2,No,0,,N/A
1510-LAWD,Female,0,Yes,No,67,49-72 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),78.43,5164.84,0,No,0,,N/A
1511-YAMC,Male,0,No,No,2,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,81.85,101.5,5,Yes,1,,N/A
1512-QBPF,Male,0,No,Yes,17,13-24 mo,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),80.9,1380.46,4,Yes,1,,N/A
1513-HIHI,Male,0,No,Yes,2,0-12 mo,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,34.65,54.15,5,No,0,,N/A
1514-KAVU,Male,0,Yes,No,72,49-72 mo,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.04,5510.11,5,Yes,1,,N/A
1515-NZBF,Female,0,No,No,1,0-12 mo,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,35.91,18.85,5,No,0,,N/A
1516-BZDR,Female,1,Yes,No,5,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,114.96,1,No,0,,N/A
1517-BVKJ,Male,0,No,No,72,49-72 mo,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.97,8366.08,3,No,0,,N/A
1518-SVIK,Male,0,No,No,27,25-48 mo,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),57.56,1617.09,3,Yes,1,,N/A
1519-JGQM,Female,0,Yes,No,50,49-72 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.08,2963.21,0,No,0,,N/A
1520-UROC,Male,0,Yes,Yes,0,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),97.04,18.85,1,Yes,1,,N/A
1521-OVNG,Female,0,No,No,17,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,90.23,1600.0,1,No,0,,N/A
1522-BAHC,Male,0,Yes,No,72,49-72 mo,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,47.84,3430.97,3,No,0,,N/A
1523-EHEI,Male,0,Yes,Yes,27,25-48 mo,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,75.79,2025.7,3,No,0,,N/A
1524-ZAXA,Male,0,Yes,No,60,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,82.7,4968.02,2,No,0,,N/A
1525-JCZZ,Male,0,Yes,No,72,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.01,2077.03,1,No,0,,N/A
1526-HTOW,Male,0,No,No,36,25-48 mo,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,44.96,1671.51,4,No,0,,N/A
1527-NQGO,Male,0,No,No,12,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,57.73,721.4,6,No,0,,N/A
1528-BGAZ,Male,0,No,No,11,0-12 mo,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,68.5,797.86,6,No,0,,N/A
1529-MJCB,Female,0,Yes,No,2,0-12 mo,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,107.0,234.81,4,Yes,1,,N/A
1530-ZEHQ,Female,0,No,No,17,13-24 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),47.32,758.2,3,Yes,1,,N/A
1531-PDNK,Female,0,No,Yes,72,49-72 mo,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,112.1,8118.51,5,Yes,1,,N/A
1532-LTGR,Female,0,Yes,No,20,13-24 mo,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),82.13,1519.21,3,No,0,,N/A
1533-IEJO,Female,0,Yes,No,72,49-72 mo,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),19.69,1416.44,4,No,0,,N/A
1534-ZWYB,Male,0,No,No,54,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,77.69,4197.56,2,No,0,,N/A
1535-NUGO,Male,1,Yes,No,72,49-72 mo,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.5,8136.42,6,No,0,,N/A
1536-GKDC,Female,0,Yes,No,72,49-72 mo,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,62.14,4425.35,3,No,0,,N/A
1537-RQZC,Male,0,Yes,Yes,39,25-48 mo,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),45.93,1841.18,4,No,0,,N/A
1538-DAOV,Female,0,Yes,No,65,49-72 mo,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,50.99,3325.12,4,No,0,,N/A
1539-MNYS,Female,0,Yes,No,44,25-48 mo,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),82.77,3624.75,3,No,0,,N/A
1540-MLTP,Male,1,Yes,No,38,25-48 mo,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),26.63,918.25,4,No,0,,N/A
1541-NIVY,Male,0,No,No,40,25-48 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),118.75,4760.6,3,Yes,1,,N/A
1542-KZOK,Male,0,Yes,No,40,25-48 mo,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,101.45,4069.38,3,No,0,,N/A
1543-PXXE,Female,0,No,No,15,13-24 mo,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.09,1323.63,7,Yes,1,,N/A
1544-IAKW,Male,0,Yes,No,17,13-24 mo,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,33.61,653.57,4,Yes,1,,N/A
1545-NYAE,Female,1,No,No,11,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),112.5,1294.41,2,No,0,,N/A
1546-AHWB,Female,0,No,No,5,0-12 mo,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,106.69,524.85,5,Yes,1,,N/A
1547-GHYF,Female,1,No,No,19,13-24 mo,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,112.36,2190.22,5,No,0,,N/A
1548-AYOH,Male,0,No,No,72,49-72 mo,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,78.7,5731.59,4,Yes,1,,N/A
1549-IEML,Male,0,No,Yes,33,25-48 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.01,2277.55,3,Yes,1,,N/A
1550-GMSC,Female,0,No,No,1,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,77.76,26.35,2,No,0,,N/A
1551-CZFK,Male,0,Yes,Yes,53,49-72 mo,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),84.15,4399.37,4,Yes,1,,N/A
1552-XRQH,Male,0,Yes,Yes,72,49-72 mo,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,108.37,7853.36,4,Yes,1,,N/A
1553-UBSF,Male,0,No,No,56,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.05,1609.88,2,No,0,,N/A
1554-MWWN,Female,0,Yes,Yes,41,25-48 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.84,3114.47,0,No,0,,N/A
1555-LVMR,Female,0,No,No,5,0-12 mo,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,474.39,4,Yes,1,,N/A
1556-ISIU,Male,0,No,Yes,13,13-24 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,101.28,1300.99,4,Yes,1,,N/A
1557-CUVA,Female,0,Yes,No,26,25-48 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.0,1533.96,3,No,0,,N/A
1558-DAMK,Male,0,No,Yes,2,0-12 mo,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,72.61,220.08,3,No,0,,N/A
1559-HBZG,Male,0,Yes,Yes,3,0-12 mo,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.55,252.55,5,Yes,1,,N/A
1560-URCL,Male,0,Yes,No,72,49-72 mo,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,79.08,5661.87,2,No,0,,N/A
1561-XTCS,Male,0,No,No,38,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.13,1980.82,1,Yes,1,,N/A
1562-GERP,Female,1,Yes,No,10,0-12 mo,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,89.65,887.7,4,No,0,,N/A
1563-DRFM,Female,0,No,Yes,12,0-12 mo,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),81.96,1016.44,4,Yes,1,,N/A
1564-XRMO,Female,0,No,No,15,13-24 mo,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),26.65,456.69,6,No,0,,N/A
1565-QKCF,Male,0,Yes,No,2,0-12 mo,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,35.03,18.85,3,No,0,,N/A
1566-MALO,Male,0,No,Yes,43,25-48 mo,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.65,2698.6,6,No,0,,N/A
1567-EUEM,Male,1,No,No,6,0-12 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,702.18,3,No,0,,N/A
1568-TKLC,Female,0,Yes,No,52,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.66,3152.48,1,No,0,,N/A
1569-COCI,Male,0,Yes,No,59,49-72 mo,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,39.41,2311.46,2,No,0,,N/A
1570-OIUA,Female,0,No,No,32,25-48 mo,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,48.73,1529.22,4,No,0,,N/A
1571-OZYZ,Female,0,No,No,47,25-48 mo,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,85.15,3920.56,6,No,0,,N/A
1572-TOUV,Female,0,Yes,No,6,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),117.93,792.45,5,Yes,1,,N/A
1573-OSZV,Female,0,Yes,No,27,25-48 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,50.55,1371.17,0,No,0,,N/A
1574-HDLF,Female,0,No,No,36,25-48 mo,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),75.67,2767.74,5,No,0,,N/A
1575-EWYZ,Female,1,No,No,34,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),53.59,1712.26,1,No,0,,N/A
1576-SKKD,Male,0,Yes,No,3,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),88.77,229.38,4,No,0,,N/A
1577-REWJ,Male,0,No,No,13,13-24 mo,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53.61,663.04,4,Yes,1,,N/A
1578-PKLV,Female,0,Yes,No,12,0-12 mo,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,92.99,1165.8,7,No,0,,N/A
1579-RAKR,Female,0,No,No,27,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,577.95,1,No,0,,N/A
1580-KNPL,Male,1,Yes,Yes,46,25-48 mo,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.43,4008.36,6,No,0,,N/A
1581-MRUO,Female,0,Yes,No,27,25-48 mo,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.48,1668.01,3,No,0,,N/A
1582-QARV,Female,0,Yes,No,44,25-48 mo,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),84.44,3779.86,6,No,0,,N/A
1583-ZVMQ,Male,0,No,No,3,0-12 mo,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.5,162.34,3,Yes,1,,N/A
1584-CMSO,Female,0,No,No,67,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.98,1969.95,2,No,0,,N/A
1585-LLMF,Female,1,No,No,24,13-24 mo,Yes,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,71.41,1739.69,3,Yes,1,,N/A
1586-KCDH,Female,0,No,No,1,0-12 mo,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.51,18.85,5,Yes,1,,N/A
1587-DZRJ,Male,0,Yes,No,32,25-48 mo,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.99,2233.55,6,No,0,,N/A
1588-MTLX,Male,1,No,No,23,13-24 mo,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,21.8,346.05,4,Yes,1,,N/A
1589-YOUM,Male,1,Yes,No,7,0-12 mo,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,71.7,536.22,5,Yes,1,,N/A
1590-IGLP,Female,0,No,Yes,46,25-48 mo,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,80.53,3772.78,4,No,0,,N/A
1591-XZMK,Female,0,Yes,No,72,49-72 mo,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),52.81,3802.69,6,No,0,,N/A
1592-SCCD,Male,0,Yes,No,12,0-12 mo,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),18.25,269.56,3,No,0,,N/A
1593-PVAE,Female,0,No,No,21,13-24 mo,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.42,951.41,3,Yes,1,,N/A
1594-GNRM,Female,1,No,No,4,0-12 mo,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,27.14,138.41,5,Yes,1,,N/A
1595-YIRJ,Female,0,No,Yes,72,49-72 mo,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.04,4474.09,3,No,0,,N/A
1596-RBEP,Female,0,No,No,12,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.46,286.05,1,No,0,,N/A
1597-TCZD,Female,0,Yes,No,6,0-12 mo,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),26.27,175.83,6,No,0,,N/A
1598-YESB,Male,0,No,No,20,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),88.22,1854.05,1,No,0,,N/A
1599-OWID,Female,0,Yes,Yes,1,0-12 mo,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.89,115.55,3,Yes,1,,N/A
1600-WMOG,Male,0,No,No,9,0-12 mo,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.78,687.64,3,No,0,,N/A
1601-JHOG,Female,0,No,Yes,2,0-12 mo,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),47.88,65.6,3,Yes,1,,N/A
1602-AEAL,Male,0,Yes,No,4,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,50.6,223.45,2,No,0,,N/A
1603-FLIQ,Female,0,Yes,No,3,0-12 mo,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,45.85,167.32,5,No,0,,N/A
1604-RBOH,Male,0,Yes,Yes,65,49-72 mo,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),49.79,3196.61,6,Yes,1,,N/A
1605-SHTK,Female,0,Yes,No,72,49-72 mo,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,51.18,3774.23,3,No,0,,N/A
1606-XDTP,Male,0,Yes,No,20,13-24 mo,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,35.17,700.53,6,No,0,,N/A
1607-DIAJ,Female,0,Yes,No,31,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.66,1410.4,1,No,0,,N/A
1608-SRVR,Male,0,Yes,No,38,25-48 mo,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),70.85,2675.42,3,No,0,,N/A
1609-OWZB,Female,0,No,No,15,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.99,634.32,2,No,0,,N/A
1610-MGVB,Male,0,No,No,14,13-24 mo,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.81,1065.51,3,Yes,1,,N/A
1611-WUKL,Male,0,Yes,No,36,25-48 mo,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),18.25,565.07,5,No,0,,N/A
1612-XKLO,Female,1,Yes,No,15,13-24 mo,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,74.11,1068.71,3,No,0,,N/A
1613-QQCH,Female,0,Yes,No,27,25-48 mo,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,62.73,1717.15,4,No,0,,N/A
1614-QWLR,Male,0,No,Yes,23,13-24 mo,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.67,1793.63,3,No,0,,N/A
1615-FUJF,Female,1,No,No,23,13-24 mo,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),74.69,1726.35,5,No,0,,N/A
1616-VIRB,Male,0,No,No,56,49-72 mo,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34.32,1860.91,5,No,0,,N/A
1617-KUQK,Male,0,No,No,38,25-48 mo,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),66.69,2529.88,2,No,0,,N/A
1618-MBED,Male,0,No,Yes,72,49-72 mo,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),31.11,2259.04,7,Yes,1,,N/A
1619-GSYJ,Female,1,No,No,50,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.67,2674.17,1,No,0,,N/A
1620-GXHE,Male,0,Yes,Yes,5,0-12 mo,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,93.16,537.6,5,No,0,,N/A
1621-FYEL,Male,0,No,No,42,25-48 mo,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,35.5,1553.74,7,No,0,,N/A
1622-LSKS,Female,0,No,No,35,25-48 mo,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,63.3,2213.03,7,No,0,,N/A
1623-WCFF,Female,0,No,No,33,25-48 mo,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),40.7,1261.09,4,No,0,,N/A
1624-SWZL,Female,0,No,No,20,13-24 mo,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),74.17,1530.69,3,No,0,,N/A
1625-MCQE,Female,0,Yes,No,2,0-12 mo,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.69,160.71,4,No,0,,N/A
1626-WPYV,Male,0,No,No,72,49-72 mo,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,50.96,3749.62,4,No,0,,N/A
1627-FIYE,Male,0,Yes,Yes,61,49-72 mo,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,71.48,4393.16,5,Yes,1,,N/A
1628-AWGF,Male,0,Yes,No,21,13-24 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),58.33,1214.18,0,No,0,,N/A
1629-BSNN,Male,0,Yes,No,5,0-12 mo,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),35.74,284.57,2,Yes,1,,N/A
1630-YVEP,Female,1,No,No,55,49-72 mo,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.64,4183.35,6,No,0,,N/A
1631-AYFA,Male,0,No,No,18,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,79.57,1493.44,1,Yes,1,,N/A
1632-NUVM,Male,0,No,No,15,13-24 mo,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),35.4,493.84,5,Yes,1,,N/A
1633-BOMI,Female,0,No,No,35,25-48 mo,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,90.91,3133.33,5,No,0,,N/A
1634-EZMH,Male,0,Yes,Yes,45,25-48 mo,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.13,4531.99,4,No,0,,N/A
1635-NVMA,Male,0,No,No,2,0-12 mo,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,38.26,122.17,3,Yes,1,,N/A
1636-FVUA,Male,0,No,Yes,46,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.35,4876.75,2,No,0,,N/A
1637-FKQL,Male,0,No,No,42,25-48 mo,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,65.12,2851.4,3,No,0,,N/A
1638-SNPB,Male,0,Yes,No,28,25-48 mo,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),62.93,1777.15,5,No,0,,N/A
1639-TKED,Male,0,No,No,13,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,114.89,1509.07,1,No,0,,N/A
1640-HOUV,Female,1,No,No,5,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,90.13,519.61,2,No,0,,N/A
1641-BKSD,Female,1,No,No,3,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.3,128.97,2,No,0,,N/A
